file,species,scientific_name,author,licence,source
rotkehlchen_1.jpg,Rotkehlchen,Erithacus rubecula,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:030_European_robin_in_the_Camargue_Photo_by_Giles_Laurent.jpg
rotkehlchen_2.jpg,Rotkehlchen,Erithacus rubecula,Laurens R. Krol,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:2026-03-22_Germany,_Berlin_DSC_8158_DxO.jpg"
rotkehlchen_3.jpg,Rotkehlchen,Erithacus rubecula,Chme82,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_(Brugg_AG).jpg
rotkehlchen_4.jpg,Rotkehlchen,Erithacus rubecula,Chme82,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_2026-01-02.jpg
amsel_1.jpg,Amsel,Turdus merula,Romzig,CC0,"https://commons.wikimedia.org/wiki/File:Amsel,_M%C3%A4nnchen_(Mai_2025)_1.jpg"
amsel_2.jpg,Amsel,Turdus merula,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Amsel_(April_2023).jpg
amsel_3.jpg,Amsel,Turdus merula,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Amsel_(Dezember_2025).jpg
amsel_4.jpg,Amsel,Turdus merula,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Amsel_(M%C3%A4rz_2024).jpg
kohlmeise_1.jpg,Kohlmeise,Parus major,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:029_Great_tit_standing_on_flowering_Wisteria_in_Gl%C3%A2ne_District_Photo_by_Giles_Laurent.jpg
kohlmeise_2.jpg,Kohlmeise,Parus major,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:034_Great_tit_in_Pfyn-Finges_Photo_by_Giles_Laurent.jpg
kohlmeise_3.jpg,Kohlmeise,Parus major,Charles J. Sharp,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Great_tit_(Parus_major)_male.jpg
kohlmeise_4.jpg,Kohlmeise,Parus major,Rhododendrites,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Great_tit_on_Djurgarden_(52306).jpg
blaumeise_1.jpg,Blaumeise,Cyanistes caeruleus,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:073_Wild_Eurasian_blue_tit_parent_feeding_at_Pfyn-Finges_Photo_by_Giles_Laurent.jpg
blaumeise_2.jpg,Blaumeise,Cyanistes caeruleus,Laurens R. Krol,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:2025-01-12_Germany,_Berlin,_Eurasian_blue_tit_DSC_9758_DxO.jpg"
blaumeise_3.jpg,Blaumeise,Cyanistes caeruleus,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Blaumeise_(April_2025).jpg
blaumeise_4.jpg,Blaumeise,Cyanistes caeruleus,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Blaumeise_(April_2026)_1.jpg
haussperling_1.jpg,Haussperling,Passer domesticus,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:031_Male_House_sparrow_standing_on_flowering_Wisteria_near_Lake_Geneva_Photo_by_Giles_Laurent.jpg
haussperling_2.jpg,Haussperling,Passer domesticus,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:032_Male_House_sparrow_standing_on_flowering_Wisteria_near_Lake_Geneva_Photo_by_Giles_Laurent.jpg
haussperling_3.jpg,Haussperling,Passer domesticus,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20231001_house_sparrow_with_incomplete_leucism.jpg
haussperling_4.jpg,Haussperling,Passer domesticus,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Haussperling_(April_2025).jpg
buchfink_1.jpg,Buchfink,Fringilla coelebs,Romzig,CC0,"https://commons.wikimedia.org/wiki/File:Buchfink,_Weibchen_(Dezember_2025).jpg"
buchfink_2.jpg,Buchfink,Fringilla coelebs,Membeth,CC0,https://commons.wikimedia.org/wiki/File:Buchfink-Maennchen.Luther-Friedhof.P1067297.jpg
buchfink_3.jpg,Buchfink,Fringilla coelebs,Romzig,CC0,https://commons.wikimedia.org/wiki/File:Buchfink_(M%C3%A4rz_2024).jpg
buchfink_4.jpg,Buchfink,Fringilla coelebs,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_chaffinch.jpg
gruenfink_1.jpg,Grünfink,Chloris chloris,Thermos,CC BY-SA 2.5,https://commons.wikimedia.org/wiki/File:CarduelisChlorisBerry.jpg
gruenfink_2.jpg,Grünfink,Chloris chloris,Estormiz,Public domain,https://commons.wikimedia.org/wiki/File:Carduelis_chloris_Oulu_20110305.JPG
gruenfink_3.jpg,Grünfink,Chloris chloris,Francis C. Franklin,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Chloris_chloris.jpg
gruenfink_4.jpg,Grünfink,Chloris chloris,Martin Kunz,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Chloris_chloris_(profile).jpg
stieglitz_1.jpg,Stieglitz,Carduelis carduelis,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:030_European_goldfinch_with_Wisteria_in_the_background_in_Gl%C3%A2ne_District_Photo_by_Giles_Laurent.jpg
stieglitz_2.jpg,Stieglitz,Carduelis carduelis,Pierre Dalous,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Carduelis_carduelis_(2012).jpg
stieglitz_3.jpg,Stieglitz,Carduelis carduelis,Francis Franklin,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Carduelis_carduelis_close_up_2.jpg
stieglitz_4.jpg,Stieglitz,Carduelis carduelis,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:European_Goldfinch_Saint-Jean-de-Monts.jpg
star_1.jpg,Star (Art),Sturnus vulgaris,Axel Tschentscher,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2019-10-01_21-01_NYC_Sturnus_vulgaris.jpg
star_2.jpg,Star (Art),Sturnus vulgaris,Laurens R. Krol,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:2025-05-08_Germany,_Berlin_DSC_1762_DxO.jpg"
star_3.jpg,Star (Art),Sturnus vulgaris,Paul Danese,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20260813_european_starling_beaver_brook_PD04573.jpg
star_4.jpg,Star (Art),Sturnus vulgaris,Andreas Weith,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:A_flock_of_starlings_(Sturnus_vulgaris)_gather_in_the_evening_hours_in_autumn.jpg
elster_1.jpg,Elster,Pica pica,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_Magpie_2023-10-16_01.jpg
elster_2.jpg,Elster,Pica pica,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_Magpie_2023-10-16_02.jpg
elster_3.jpg,Elster,Pica pica,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_Magpie_Portrait.jpg
elster_4.jpg,Elster,Pica pica,Rhododendrites,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eurasian_magpie_(10860).jpg
eichelhaeher_1.jpg,Eichelhäher,Garrulus glandarius,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:076_Wild_Eurasian_jay_in_flight_with_sun_at_the_Parc_naturel_r%C3%A9gional_Jura_vaudois_Photo_by_Giles_Laurent.jpg
eichelhaeher_2.jpg,Eichelhäher,Garrulus glandarius,Mildeep,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Eurasian-Jay.jpg
eichelhaeher_3.jpg,Eichelhäher,Garrulus glandarius,Jakub Hałun,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:S%C3%B3jka_na_%C5%81%C4%85kach_Pychowickich_w_Krakowie,_20210421_1206_6369.jpg"
eichelhaeher_4.jpg,Eichelhäher,Garrulus glandarius,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:075_Wild_Eurasian_jay_in_flight_at_the_Parc_naturel_r%C3%A9gional_Jura_vaudois_Photo_by_Giles_Laurent.jpg
rabenkraehe_1.jpg,Rabenkrähe,Corvus corone,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:088_Wild_Carrion_crow_in_flight_at_Lake_Geneva_Photo_by_Giles_Laurent.jpg
rabenkraehe_2.jpg,Rabenkrähe,Corvus corone,Andreas Weith,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:An_adult_white-tailed_eagle_(Haliaeetus_albicilla)_defending_its_prey.jpg
rabenkraehe_3.jpg,Rabenkrähe,Corvus corone,PierreSelim,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Annecy_-_Corvus_Corone_-_20111230_-_02.JPG
rabenkraehe_4.jpg,Rabenkrähe,Corvus corone,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Carrion_Crow_2023_11_25_02.jpg
ringeltaube_1.jpg,Ringeltaube,Columba palumbus,alexislours,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Close-up_picture_of_a_common_wood_pigeon.jpg
ringeltaube_2.jpg,Ringeltaube,Columba palumbus,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_Wood-Pigeon_Enghien.jpg
ringeltaube_3.jpg,Ringeltaube,Columba palumbus,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_Wood_Pigeon_2025_05_23.jpg
ringeltaube_4.jpg,Ringeltaube,Columba palumbus,Alexis LOURS,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Common_Wood_Pigeon_facing_right.jpg
mauersegler_1.jpg,Mauersegler,Apus apus,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_Swift_2025_07_18_01.jpg
mauersegler_2.jpg,Mauersegler,Apus apus,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_Swift_2025_07_18_02.jpg
mauersegler_3.jpg,Mauersegler,Apus apus,Alexis Lours,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Common_swift_2024_04_21.jpg
mauersegler_4.jpg,Mauersegler,Apus apus,Fernando Losada Rodríguez,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Apus_apus.002_-_Ferreira_do_Valadouro.jpg
rauchschwalbe_1.jpg,Rauchschwalbe,Hirundo rustica,Giles Laurent,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:080_Wild_Barn_swallow_in_flight_at_Pfyn-Finges_Photo_by_Giles_Laurent.jpg
